Artist,Album,Label,Genre,Rating
1KG,เรื่องของเราคืนนั้น [Our Story That Night],YearHeart Entertainment,Rap,
1Lanej,Damage,Demarcus Joseph / GT Digital,R&B,
1way,Clutchin,G'd Up Records,Rap,
,,,,
2 Eleven,Fuck Rap,Norf,Rap,
2 Fabiola,I'm Losing My Mind,Motiv,Pop/Rock,
,,,,
29:11 Worship,All Broken Things [Live],Dream Worship,Religious,
2Blessed,The Pregame,Blessedsincebirth / GT Digital,Rap,
2K / Hodak / Phunk'ill,Dead man walking/Sam ze sobą,Universal,Rap,
2Z,Playground,,Pop/Rock,
49 Winchester,Leavin' This Holler,New West,Country,
6euroneunzig,Alk & Liebe,Four Music,Rap,
765 Million Allstars,IDOLM@STER MILLION LIVE! 7 Days A Week!!,Lantis,Pop/Rock,
7thkernel,Stay With Me,Beatclap,Pop/Rock,
8300 Buddha,Risk Taker,8300 Buddha / GT Digital,Rap,
86TVs,86TVs,EastWest / Parlophone,Pop/Rock,
8TURN,"Serendipity's Embrace, Pt. 4 [Original Soundtrack]",Iok Company,Pop/Rock,
8Uno,Mendoza,Firme Con Los Firmes,Pop/Rock,
92REL,IN PUBLIC,92 Records,Rap,
93 Purpose,DOG,93 Purpose / Ariston,Rap,
9Lives / Kanii / Anycia,I DID IT,PULSE Records,Rap,
=Love,Zettai idol yamenaide,Sony Music,Pop/Rock,
A Plus Tha Kid,BANDOE,World Famous,Rap,
A$AP Rocky,I'm Like Dat,A$AP Worldwide,Rap,
A$AP Rocky,Highjack,,Rap,
,,,,
A. Ramlie,Hanya Bagimu,Universal,Pop/Rock,
A. Ramlie,Suasana Hati,Universal,Pop/Rock,
A. Ramlie / Elmi Salleh / Suara Perindu,Antara Dua Pilihanmu,Universal,Pop/Rock,
A. Ramlie,Hello Hello Sayang,Universal,Pop/Rock,
Aadesh Shrivastava / Pramod Tripathi,Shyam Ka Rang Chad Gaya,Sony Music,New Age,
Aaron Modesto,Quando Te Vi,GR6 Music,International,
Aaron Wheeler,Abbey Road Masters: Ukulele Stories,Globe Productions,Folk,
Abbie Gamboa / Tiffany Hudson / Elevation Rhythm,At the Altar,Elevation Worship,Religious,
Abbie Ozard,Everything Still Worries Me,House Anxiety,Pop/Rock,
Abhi Mehta,Pyaar Ki Kahani,Venom Media,International,
Abhishek Rai,Bholenath Chahihe Ta Na Chhuti Sath,Mahamaya Sangeet / Orbit,Religious,
Abigail Karr,"Friedrich Hermann: Violin Music, Vol. 1 - Solo Works",Toccata Classics,Classical,
Abilio Manoel,Abílio Manoel,Universal,International,
Abilio Manoel,Velho De Guerra,Universal,International,
Abilio Manoel,Entre Nós,Universal,International,
Abilio Manoel,Pena Verde,Universal,International,
Above & Beyond,Group Therapy 590,Group Therapy,Electronic,
Abreaktion,Bornhatred,Chaos / Chaos Records,Pop/Rock,
Aby,i'm... fine,Sony Music,R&B,
Acer Philippines / G22,Limitless,Universal,Pop/Rock,
Aden,Sukoon 2,DESI MUSIC GANG,International,
ADF Antje,Altijd Fris,ADF Ent.,Rap,
Adje,Tussen Ons (Freak),Adje,Rap,
Ado,Zanmu,Universal,Pop/Rock,
Africa Negra,"Antologia, Vol. 2",Disques Bongo Joe,International,
,,,,
Ags Remedy,PA!N,Black Market Records,Rap,
Ahmad Ali,Suno Yeh Dil,Venom Media,International,
Ahmad Salamoun,Hal Hayat,Ahmad Salamoun,Pop/Rock,
Ahmed Essam,CATCH,WinWay,Pop/Rock,
Ahmed Jimmy,مفيش من [There Is No One],on stream (AMC),International,
Ahmed Santa,Please,Universal,Pop/Rock,
Ainy,Daisuki Gakko Minna Tomodachi Nakama Kizuna to Kyoshitsu,AINY,Pop/Rock,
Aishwarya,Nai Jana,Ziiki Media,Religious,
AJ Suede,Permafrost Discoveries,North Blend,Rap,
AK Ausserkontrolle,HELIKOPTER,XY Records,Rap,
AK Ausserkontrolle,HELIKOPTER,XY Records,Rap,
Akb,if u fall,AKB / Bungalo / Universal,Rap,
Akira Miyazawa,Noyuri,Urp Music Distribution,Jazz,
Akne Kid Joe,4 Von 5,Kidnap,Pop/Rock,
Akne Kid Joe,4 Von 5,Kidnap,Pop/Rock,
Akram Abdulfattah,Ya Hbaieb,Akram Abdulfattah / Levantine Music,Electronic,
Al-D,Hard Black & Untouchable From the Beginning,SoSouth,Rap,
Aladinn IN,Unreal,MPM,Pop/Rock,
Alain Barrière,Angela,Barclay,Pop/Rock,
Alain Barrière,Vol. 2,Barclay,Pop/Rock,
Alain Barrière,À regarder la mer,Barclay,Pop/Rock,
Alain Barrière,Vol. 3,Barclay,Pop/Rock,
Alain Barrière,Vol. 1,Barclay,Pop/Rock,
Alara,DURMA,Fiu Records,Pop/Rock,
Albert Bover,Parisian Affair,Fresh Sound,Jazz,
,,,,
,,,,
Albisi Ensemble,Abelardo Albisi: Chamber Music for Winds,Da Vinci Classics,Classical,
Alcione / Kelner / Davi Kneip,Você Me Vira A Cabeça (Me Tira Do Sério): MTG,Universal,Electronic,
Aldís,A U Steel Here,BIRDFEED,Electronic,
Ale Sergi / Clara Cava,me hace bien,Universal,Pop/Rock,
Alecc / Tr4cer,Me Tin Plati Ston Toixo,Minos,Rap,
Alejandro Armes,BRUCE WAYNE,LA ARMERIA MUSIC,Latin,
Alessandro Del Gobbo,"Debussy, Rameau: Hommage - Piano Works",Da Vinci Classics,Classical,
Alessio Loda,Bella,Clockbeats,Pop/Rock,
Alex Sensation,Playita,Universal,Rap,
Alexander Brott,Leon's Lullaby,Fresh Sound,Jazz,
Alexei Lubimov / Viktoriia Vitrenko,Valentin Silvestrov: Forgotten Word I Wished to Say,Sony Classical,Classical,
Alexia Reis / Workshow,Ao Vivo Em Goiânia [Ao Vivo],Virgin,Pop/Rock,
Ali Soomro / Afusic,Out of Your Mind,Universal,Pop/Rock,
Alka Yagnik / Babul Supriyo / Deepanshu Ruhela / Farooq Got Audio,Chori Chori Chupke Chupke [Trap Mix],Universal,International,
,,,,
Allan Tune / Alma Gov / Nir Kleiner,END LOVE,Universal,Jazz,
Allday,The Necklace,Universal,Rap,
ALLESS.,Nie woanders sein,ALLESS. / Polydor,Pop/Rock,
Alli Walker,Nashville,Nashville,Country,
Alsy,Santiago,Cracki,Pop/Rock,
,,,,
Ama Deyruch,Tawaimonapo Iyi,VML,Rap,
Amadio,الأسمر نادالي [The brown Nadali],WinWay,Pop/Rock,
Amanda Jordan,Can't Keep Her,Amanda Jordan,Country,
Amar Raj,He Bhole Baba Pagali Chor Gaili Sasural 2,UT,Religious,
America,Sister Golden Hair,Sun Label Group,Pop/Rock,
Amestigon,Mysterious Realms,Weltnetz,Pop/Rock,
Ami Warning,Auszeit,Backseat,Pop/Rock,
Amin Idris / Fathul Bari,Kangar Yang Mekar,Sony Music,Pop/Rock,
Amir Eid,Roxi,Sony Music,Pop/Rock,
Ammo,Song Lie,Toy's Factory,Pop/Rock,
Amrit Rai,MERI BAAT,Venom Media,International,
Amy Shark,Gone,Sony Music,Pop/Rock,
AMYNE1,Yamal,AMYNE1,Pop/Rock,
Américo / Giandari,Recuerdo,Sony Music,Latin,
Anantha Kumar,"Sri Bajana, Pt. 6",SVD,Religious,
Anantha Kumar,"Sri Bajana, Pt. 4",SVD,Religious,
Anberlin,Vega,Equal Vision,Pop/Rock,
,,,,
Anda Floaoo,We're Floating,MPM,Electronic,
,,,,
Andrea Datzman,Inside Out 2 [Original Motion Picture Soundtrack],Walt Disney,Stage & Screen,
Andrea Manco,"Bach, Berio",Movimento Classical,Classical,
Andrea Ruggeri,Mustras,Da Vinci Classics,Jazz,
Andrew Jeremy,Coffee Talk Ep 2: Hibiscus & Butterfly Original Soundtrack],Black Screen Records,Stage & Screen,
Andrew Snow & NME Dzaster,Couldn't Be Me,Demarcus Joseph / GT Digital,Rap,
Andy Gowan,Margarita,Andy Gowan,Latin,
Andy Grammer / Maddie & Tae,I Do,S-Curve / S-Curve Records,Pop/Rock,
Andy Grammer / Maddie & Tae,I Do,S-Curve Records,Pop/Rock,
Andy Lewis / Robert Rotifer / Papernut Cambridge / Popincourt,House of Four,Gare du Nord,Pop/Rock,
Andy Wood,Charisma,BFD,Pop/Rock,
Angel Cervantes / La Receta / Adrian L. Santos,No Vengas A Buscarme,Universal,Latin,
Angelo Francesco Lavagnino,Ercole Sfida Sansone,Alhambra,Stage & Screen,
Angham Al Nujoom,يونس عزت - معزوفة كلب مامل [Younis Ezzat: Mamel Dog Melody],Angham Al Nujoom,Pop/Rock,
Angham Al Nujoom,يونس عزت - معزوفة ماظل حب بهالدنيا [Younis Ezzat: There Is No Love Left in This World],Angham Al Nujoom,Pop/Rock,
Angham Al Nujoom,يونس عزت - معزوفة انا بلياك + بعد بعد [Younis Ezzat: Ana Belyak Melody + Baad Baad],Angham Al Nujoom,Pop/Rock,
Angham Al Nujoom,"يونس عزت - مكس جوبي والله محتاجك ياخي [Younis Ezzat: Mix Joby, I Really Need You, Brother]",Angham Al Nujoom,Pop/Rock,
Ankit Ujala,Chale Pileb Daru Re Tora Banebo Saru Re,Bam Bam Music Maithili,International,
Ankit Ujala,Kamar Kare Lach Lach,Bam Bam Music Maithili,International,
Ankush Raja,Murder Ho Jayee,Tips Industries,International,
Anmol Singh,Tum Bin,Venom Media,International,
Ann Wilson / Ann Wilson & Tripsitter,Live in Concert,Label Logic,Pop/Rock,
Anna Marie / Marilyn Maye,Best Voices Time Forgot,Fresh Sound,Jazz,
Anna Shelest,"Donna Voce, Vol. 2: Women of Legend",Music & Arts,Classical,
Annika,Så længe jeg er sexy.,Universal,Pop/Rock,
Anstandslos & Durchgeknallt / Vivi Minu,Paradies,Zeitgeist,Electronic,
Antagonyze,Interpretations of the Unknown Wilderness,Chaos / Chaos Records,Pop/Rock,
Anthony Daasan,Dabbushka [Original Motion Picture Soundtrack],Sri Musiq,Stage & Screen,
Anu Dubey,Bhole Ke Deewane,Apex International Media,Religious,
Anu Malik / Nishtha Sharma,Hum Toh Dil Tak Chahte The,Zee Music Company,Pop/Rock,
Anuv Jain,Jo Tum Mere Ho,Universal,Pop/Rock,
Anwuzhi,Xiang Xia Fei Xing,Universal,Pop/Rock,
Anxhela Peristeri,Habibi,Minos,Pop/Rock,
Anèa,Fragile,Firefly Records,Pop/Rock,
Apache 207,Miami,Feder Musik / Four Music,Rap,
Appalachian Road Show / Country's Family Reunion,"Appalachian Road Show at Larry’s Country Diner, Vol. 1 [Live]",Country Road,Country,
Ara Johari,Menjaga Jodoh Orang Lain,Universal,Pop/Rock,
AraabMuzik,AGGRO DR1FT [Original Motion Picture Soundtrack],Milan,Stage & Screen,
Arch Enemy,Dream Stealer,Century Media,Pop/Rock,
Architrackz / Cheryl Ozturk,AliExpress,Top Notch Music,Pop/Rock,
Ari Abdul,Girls on the Internet,RCA,Pop/Rock,
Arianna Lanci / Chiara Cattani,"Benedetto Marcello, J.C.F. Bach, Rossella Spinosa: Sul filo degli affetti - La Voce di Cassandra",Da Vinci Classics,Classical,
Arinaga Family,Takut Pipis Tengah Malam,Musik Positif,Pop/Rock,
Arsa,Nothing Hurts Quite Like Life,Code 7 / Time To Kill Records,Pop/Rock,
Arsh Khan,Challa,Ziiki Media,Religious,
Art Bergmann,Songs for the Underclass,,Pop/Rock,
,,,,
,,,,
Arti Mirdha,O Re Sajan,Puja Lakra Entertainment,Pop/Rock,
Arturo Serra,Pensativa,Fresh Sound,Jazz,
Arun Kumar,Mirza,Ziiki Media,Religious,
Arya Abhishek,Tani Ke Ohrwa Jaimi Sasurar,UT,Pop/Rock,
Arya Abhishek,Holiya Me Yad Tohar Awa Hau Ge Sonma,UT,Pop/Rock,
Asenblut,Entfesselt,Massacre Records,Pop/Rock,
Ashendeen,With Your Shoes On,Apollophoniks Enterprice,Electronic,
Ashok Ajanavi,Bolat Chala Bol Bam,Sapna Studio Official / UT,Religious,
Asian Kung-Fu Generation,Single Collection,Sony Music,Pop/Rock,
Aslam Mewati,Pawn Me Lupjhup Hoye,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Phr Ke Jamfar Lal,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Mero Garmi Me Garm Hove Munde,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Dever Ki Shadi,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Mutai Margi Tampu Me,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Dil Tope Aasiq,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Joban Ko Bhandar,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Juja Sali Ki Love Story,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Sara Gaaw Me Batri Kherat,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Sari Sari Raat,UK Mewat Limited,Pop/Rock,
Aslam Mewati,Nahar Pe Sirsu Katri Hai,UK Mewat Limited,Pop/Rock,
Astora,FUNK ESTRANHO,Ultra Records,Electronic,
,,,,
Avadhoot Gupte / Madhuri Karmarkar / Ashok Patki,"Hotyacha Navhata Zhala [From ""Lifeline""]",Zee Music Company,Stage & Screen,
AWZY,SHADOW,Dream Records,Religious,
Axel Cooper / Fyex / JVLS,Shut Your Mouth,NITRON music,Electronic,
AyJayRRR,When I See Your Face,Boomy Corporation,Electronic,
AZ2A,Spotlight,Xploded Music,Electronic,
Azad Raja,Baba Ho Phonma Band Tor Batav Ho,UT,Religious,
Azevedo / RUXN / Correia / Balances,Falso Infinito,Virgin,R&B,
Azevedo / Dexter / L7NNON / RUXN,Pós Carnaval,Virgin,R&B,
Azevedo,Neuroses,Virgin,R&B,
Azevedo / Borges / Vt No Beat,Seu Olhar,Virgin,R&B,
Azevedo / Ian Girao,Caminho Errado,Virgin,R&B,
,,,,
Babak Rahnama,Peyda Kon Mara [Remixes],BABAK RAHNAMA MUSIC GROUP,International,
Bablu Vishwas,Chal Jaibu Piyava Ke Sath,Sapna Studio Official / UT,Pop/Rock,
Baby Sam,Stuck N My Wayz,GT Digital / Hogglif3,Rap,
Babykira,Green Light,Darkroom / Darkroom P&D,Pop/Rock,
Babylon,EGO 90'S PART 3,Babylon Records,Pop/Rock,
Badshah / Sukriti Kakar / Deepanshu Ruhela,Kya Say?,Universal,International,
Bagga,Nemamusasa,VML,Rap,
BAK Jay,VIP,Tenthousand Projects,Rap,
Bakari,BANDZ,Hall Access,Rap,
Balbluun,Walking in the Dark,MPM,Electronic,
Baltra,Dreaming of a Disco,Urp Music Distribution,Electronic,
Banda Cuisillos,THE BEST OF,Universal,Latin,
Banda los Recoditos / Banda el Recodo / Murcof,Vive La Casa,Fonovisa,Latin,
Bankroll,100 Bands,ZLE Records,Rap,
,,,,
Barbie,I've Got the Look [From Barbie Dream Besties],Mattel-Arts Music,Children's,
Barque of Dante,Columbus,Red Rivet Records,Pop/Rock,
Bartholdy Quintett,Johannes Brahms: String Quintets 1 & 2,Cavi-Music,Classical,
Baschi,"""Sing mit mir"": Baschi Songs zum Mitsingen",Universal,Pop/Rock,
Baschi,"""Sing mit mir"": Songs zum Mitsingen",Universal,Pop/Rock,
BBC Philharmonic Orchestra / Juanjo Mena,Gerhard: Don Quixote (Complete Ballet); Suite from 'Alegrías'; Pedrelliana,Chandos,Classical,
BBYx,LIKE THAT,RCA,Pop/Rock,
BC,WEEDLAND,Virgin,Rap,
BDC,Tension,Liminal,Electronic,
Beautybox,B-Turn,,Pop/Rock,
Beax,HARD WAY,Boot Music Group,Rap,
Becca Hatch,Crash,Forever Ever Records,R&B,
Becky Buller / Country's Family Reunion,"Becky Buller at Larry’s Country Diner, Vol. 1 [Live]",Country Road,Country,
Bee,Pysyvää,Sony Music,Pop/Rock,
Bee Remix,طلعني من ذاكرتك [ريمكس] [Get Me Out of Your Memory [Remix]],Bee Remix,Pop/Rock,
Bee Remix,انا الغلطان [Remix] [I'm the One Who's Wrong],Bee Remix,Pop/Rock,
Beeda Weeda,Rockin Up Work,Fog City Records,Rap,
,,,,
BELARO,Proceed With Caution,Eyelektric,R&B,
Belico Indie / NXNNI,Phone,Universal,Latin,
Bellring Girls Heart,Manatsu No Lemon,Lonesome Recordings,Pop/Rock,
Ben Glassberg / Orchestre de l'Opéra de Rouen Normandie / Huw Montague Rendall,Gounod: Roméo et Juliette - Ballade de la reine Mab,Erato,Classical,
Ben Reed,Bandaged,Gare du Nord,Pop/Rock,
Bente,Heel Misschien,Top Notch Music,Pop/Rock,
Bernard Fanning / Paul Dempsey / Fanning Dempsey National Park,Deluge,Universal,Pop/Rock,
Bess,Saanko mä luvan,Universal,Pop/Rock,
Bethzaida,Nine Worlds/LXXVII,Back On Black,Pop/Rock,
Beto Guzman,Regalo De Dios,Music VIP,Latin,
Bhai Jagpreet Singh Ji,Waheguru Simran,Ziiki Media,Pop/Rock,
Bhai Jujhar Singh,Bandana,Ziiki Media,Pop/Rock,
Bhai Kamaljit Singh Ji,Rehras Sahib,Sikhi Sangeet,Religious,
Bharath / Samad Khan,Yaad Teri Na Aaye,Universal,Pop/Rock,
Bhaven Dhanak / Samira Koppikar,Bin Mere,Zee Music Company,Pop/Rock,
Big Aye.Welch,KeyBoard Gangsta,Big Aye.Welch / GT Digital,Rap,
Big L,Hard to Kill,Fog City Records,Rap,
Big Sean,On Up,Def Jam / FF to Def Entertainment,Rap,
Bii,Total Eclipse,Sony Music,Pop/Rock,
Bijender Chauhan,Shiv Mantra & Aarti,Grace Land,Religious,
,,,,
,,,,
Bin / Azevedo / Chris MC / Vt No Beat,Paranóia,Virgin,R&B,
Bistro Boy,"Reflections, Vol. 3",Alda,Electronic,
Bizzy Bone,Bald Head Horsemen,Fog City Records,Rap,
Bl4ir,VIBES,Universal,Pop/Rock,
,,,,
